opcode, rs_addr, rt_addr, rd_addr, immediate, RegDst, RegWrite, ALUSrc1, ALUSrc2, ALUOp, MemWrite, MemToReg
0000, 00, 00, 00,   0, 0, 1, 0, 1, 0, 0, 1
0001, 00, 00, 00,   0, 0, 0, 1, 1, 0, 1, 0
0010, 00, 00, 00,   0, 0, 1, 0, 0, 0, 0, 0
0011, 00, 00, 00,   0, 1, 1, 0, 1, 0, 0, 0
0100, 00, 00, 00,   0, 0, 1, 0, 0, 1, 0, 0
0101, 00, 00, 00,   0, 0, 1, 0, 0, 2, 0, 0
0110, 00, 00, 00,   0, 1, 1, 0, 0, 2, 0, 0
0111, 00, 00, 00,   0, 0, 1, 0, 0, 3, 0, 0
1000, 00, 00, 00,   0, 1, 1, 0, 1, 3, 0, 0
1001, 00, 00, 00,   0, 1, 1, 0, 1, 4, 0, 0
1010, 00, 00, 00,   0, 1, 1, 0, 1, 5, 0, 0
1011, 00, 00, 00,   0, 0, 0, 0, 0, 6, 0, 0
1100, 00, 00, 00,   0, 0, 0, 0, 0, 7, 0, 0
1101, 00, 00, 00,   0, 0, 1, 1, 0, 2, 0, 0
1110, 00, 00, 00,   0, 0, 0, 0, 0, 0, 0, 0
1111, 00, 00, 00,   0, 0, 0, 0, 0, 0, 0, 0
